dates,"('stori', 'talk', 'tomorrow')","('nation', 'secur', 'council')","('foreign', 'relat', 'committe')","('countdown', 'good', 'even')","('osama', 'bin', 'laden')","('fifth', 'stori', 'countdown')","('tell', 'nbc', 'news')","('great', 'thank', 'time')","('thank', 'time', 'tonight')","('time', 'tonight', 'thank')","('john', 'mccain', 'say')","('your', 'watch', 'countdown')","('watch', 'countdown', 'msnbc')","('fourth', 'stori', 'countdown')","('senior', 'white', 'hous')","('msnbc', 'polit', 'analyst')","('polit', 'analyst', 'richard')","('analyst', 'richard', 'wolff')","('richard', 'good', 'even')","('good', 'even', 'good')","('even', 'good', 'even')","('good', 'even', 'keith')","('new', 'york', 'time')","('white', 'hous', 'say')","('white', 'hous', 'correspond')","('correspond', 'newsweek', 'magazin')","('alway', 'great', 'thank')","('third', 'stori', 'countdown')","('dont', 'know', 'much')","('well', 'let', 'go')","('mitt', 'romney', 'said')","('thank', 'join', 'us')","('join', 'us', 'tonight')","('washington', 'post', 'msnbc')","('iowa', 'new', 'hampshir')","('barack', 'obama', 'think')","('hillari', 'clinton', 'barack')","('clinton', 'barack', 'obama')","('democrat', 'presidenti', 'candid')","('day', 'sinc', 'declar')","('sinc', 'declar', 'mission')","('declar', 'mission', 'accomplish')","('mission', 'accomplish', 'iraq')","('join', 'us', 'tomorrow')","('us', 'tomorrow', 'night')","('im', 'keith', 'olbermann')","('keith', 'olbermann', 'good')","('olbermann', 'good', 'night')","('good', 'night', 'good')","('let', 'play', 'hardbal')","('play', 'hardbal', 'good')","('hardbal', 'good', 'even')","('good', 'even', 'im')","('even', 'im', 'chris')","('im', 'chris', 'matthew')","('chris', 'matthew', 'welcom')","('matthew', 'welcom', 'hardbal')","('your', 'go', 'see')","('ok', 'thank', 'much')","('theyr', 'go', 'say')","('say', 'wait', 'minut')","('peopl', 'dont', 'like')","('like', 'john', 'mccain')","('know', 'barack', 'obama')","('vice', 'presid', 'cheney')","('let', 'take', 'look')","('your', 'watch', 'hardbal')","('watch', 'hardbal', 'msnbc')","('welcom', 'back', 'hardbal')","('well', 'let', 'talk')","('thank', 'much', 'join')","('much', 'join', 'us')","('polit', 'analyst', 'pat')","('dont', 'know', 'your')","('know', 'your', 'go')","('your', 'go', 'get')","('hardbal', 'msnbc', 'welcom')","('msnbc', 'welcom', 'back')","('id', 'like', 'see')","('hardbal', 'msnbc', 'im')","('cnbc', 'market', 'wrap')","('market', 'wrap', 'stock')","('back', 'hardbal', 'welcom')","('hardbal', 'welcom', 'back')","('go', 'go', 'back')","('martin', 'luther', 'king')","('right', 'thank', 'much')","('im', 'go', 'let')","('unit', 'state', 'america')","('presid', 'unit', 'state')","('analyst', 'pat', 'buchanan')","('hillari', 'rodham', 'clinton')","('well', 'right', 'back')","('back', 'round', 'tabl')","('barack', 'obama', 'say')","('tomorrow', 'night', 'eastern')","('night', 'eastern', 'hardbal')","('eastern', 'hardbal', 'right')","('hardbal', 'right', 'time')","('im', 'david', 'shuster')","('join', 'us', 'phone')","('thank', 'much', 'appreci')","('bush', 'white', 'hous')","('your', 'watch', 'msnbc')","('think', 'youv', 'got')","('unit', 'state', 'go')","('go', 'make', 'sure')","('know', 'weve', 'got')","('unit', 'state', 'think')","('dont', 'think', 'go')","('republican', 'presidenti', 'candid')","('hes', 'go', 'win')","('hes', 'go', 'get')","('right', 'dont', 'think')","('think', 'go', 'get')","('hes', 'go', 'say')","('dont', 'think', 'hes')","('think', 'hes', 'go')","('know', 'hes', 'go')","('today', 'new', 'york')","('york', 'time', 'report')","('dont', 'think', 'think')","('bush', 'tax', 'cut')","('win', 'new', 'hampshir')","('hillari', 'clinton', 'campaign')","('think', 'that', 'right')","('new', 'hampshir', 'primari')","('nation', 'syndic', 'radio')","('radio', 'talk', 'show')","('back', 'tomorrow', 'night')","('hardbal', 'chris', 'matthew')","('let', 'play', 'oddbal')","('play', 'oddbal', 'begin')","('coupl', 'week', 'ago')","('dont', 'know', 'dont')","('new', 'york', 'state')","('year', 'ago', 'today')","('number', 'stori', 'countdown')","('obama', 'health', 'care')","('health', 'care', 'plan')","('talk', 'show', 'host')","('air', 'america', 'radio')","('dont', 'realli', 'know')","('know', 'dont', 'know')","('percent', 'american', 'peopl')","('weapon', 'mass', 'destruct')","('separ', 'church', 'state')","('theyr', 'go', 'vote')","('say', 'im', 'go')","('mitt', 'romney', 'campaign')","('im', 'go', 'ask')","('hundr', 'million', 'dollar')","('spent', 'lot', 'time')","('think', 'mitt', 'romney')","('well', 'let', 'take')","('tonight', 'big', 'number')","('think', 'barack', 'obama')","('nbcwall', 'street', 'journal')","('street', 'journal', 'poll')","('big', 'number', 'next')","('dow', 'jone', 'industri')","('famili', 'research', 'council')","('want', 'go', 'back')","('think', 'well', 'think')","('say', 'dont', 'think')","('back', 'hardbal', 'time')","('barack', 'obama', 'hillari')","('obama', 'hillari', 'clinton')","('peopl', 'dont', 'want')","('dont', 'want', 'hear')","('like', 'barack', 'obama')","('hardbal', 'msnbc', 'back')","('rachel', 'maddow', 'show')","('saturday', 'night', 'live')","('im', 'go', 'say')","('univers', 'health', 'care')","('break', 'news', 'tonight')","('dont', 'know', 'think')","('white', 'hous', 'think')","('cia', 'leak', 'case')","('want', 'make', 'sure')","('let', 'go', 'back')","('go', 'web', 'site')","('know', 'theyr', 'go')","('lot', 'peopl', 'think')","('anna', 'nicol', 'smith')","('dont', 'know', 'that')","('former', 'vice', 'presid')","('white', 'hous', 'counsel')","('that', 'time', 'tonight')","('former', 'white', 'hous')","('senat', 'barack', 'obama')","('said', 'im', 'go')","('im', 'go', 'tell')","('dont', 'know', 'answer')","('far', 'im', 'concern')","('doesnt', 'make', 'sens')","('dont', 'think', 'realli')","('wall', 'street', 'journal')","('ive', 'never', 'seen')","('think', 'your', 'right')","('that', 'exact', 'right')","('republican', 'primari', 'voter')","('im', 'go', 'go')","('look', 'like', 'go')","('theyr', 'go', 'go')","('let', 'tell', 'someth')","('well', 'think', 'that')","('dont', 'know', 'go')","('let', 'put', 'way')","('thank', 'much', 'thank')","('next', 'your', 'watch')","('back', 'welcom', 'back')","('talk', 'tomorrow', 'stori')","('tomorrow', 'stori', 'talk')","('vice', 'presid', 'offic')","('white', 'hous', 'today')","('white', 'hous', 'offici')","('white', 'hous', 'press')","('presid', 'vice', 'presid')","('dont', 'think', 'peopl')","('think', 'your', 'go')","('your', 'go', 'hear')","('great', 'thank', 'thank')","('stori', 'countdown', 'tonight')","('what', 'go', 'happen')","('ive', 'got', 'tell')","('that', 'ahead', 'first')","('new', 'york', 'citi')","('stori', 'ahead', 'first')","('ahead', 'first', 'time')","('first', 'time', 'countdown')","('time', 'countdown', 'top')","('best', 'person', 'world')","('dont', 'know', 'theyr')","('senat', 'john', 'mccain')","('nbc', 'newswal', 'street')","('newswal', 'street', 'journal')","('white', 'hous', 'said')","('world', 'war', 'ii')","('say', 'theyr', 'go')","('talk', 'health', 'care')","('well', 'let', 'ask')","('ok', 'let', 'ask')","('well', 'dont', 'think')","('today', 'white', 'hous')","('know', 'lot', 'peopl')","('hardbal', 'david', 'shuster')","('that', 'right', 'think')","('doesnt', 'look', 'like')","('look', 'like', 'hes')","('let', 'go', 'right')","('right', 'back', 'back')","('thank', 'david', 'shuster')","('hous', 'press', 'secretari')","('want', 'get', 'rid')","('dont', 'know', 'exact')","('thank', 'lot', 'come')","('doesnt', 'sound', 'like')","('first', 'time', 'sinc')","('dont', 'know', 'know')","('let', 'get', 'back')","('well', 'ill', 'tell')","('think', 'theyr', 'go')","('well', 'dont', 'know')","('get', 'job', 'done')","('your', 'absolut', 'right')","('spend', 'lot', 'time')","('think', 'hillari', 'clinton')","('right', 'that', 'right')","('come', 'right', 'back')","('think', 'that', 'go')","('dont', 'think', 'that')","('dont', 'know', 'what')","('dont', 'know', 'hes')","('unit', 'state', 'senat')","('hes', 'go', 'go')","('thank', 'come', 'thank')","('dont', 'think', 'there')","('correspond', 'david', 'shuster')","('thank', 'thank', 'much')","('presid', 'georg', 'bush')","('former', 'new', 'york')","('washington', 'post', 'columnist')","('dont', 'know', 'well')","('join', 'us', 'live')","('senat', 'major', 'leader')","('major', 'leader', 'harri')","('leader', 'harri', 'reid')","('im', 'go', 'give')","('go', 'come', 'back')","('show', 'last', 'night')","('thank', 'us', 'tonight')","('us', 'tonight', 'thank')","('say', 'hes', 'go')","('get', 'health', 'care')","('health', 'care', 'system')","('everi', 'singl', 'day')","('last', 'coupl', 'week')","('well', 'think', 'think')","('let', 'us', 'know')","('think', 'white', 'hous')","('that', 'what', 'go')","('coupl', 'year', 'ago')","('know', 'dont', 'want')","('dont', 'want', 'see')","('think', 'lot', 'peopl')","('know', 'youv', 'got')","('dont', 'even', 'know')","('joran', 'van', 'der')","('van', 'der', 'sloot')","('think', 'dont', 'think')","('im', 'go', 'get')","('realli', 'dont', 'know')","('yes', 'that', 'right')","('think', 'there', 'lot')","('dont', 'know', 'whether')","('say', 'thing', 'like')","('last', 'coupl', 'day')","('dont', 'want', 'get')","('realli', 'appreci', 'thank')","('georg', 'hw', 'bush')","('mean', 'dont', 'know')","('barack', 'obama', 'john')","('like', 'mitt', 'romney')","('dont', 'think', 'know')","('behind', 'close', 'door')","('vote', 'barack', 'obama')","('theyr', 'go', 'get')","('know', 'what', 'go')","('that', 'right', 'that')","('well', 'know', 'think')","('next', 'welcom', 'back')","('senat', 'hillari', 'clinton')","('columnist', 'washington', 'post')","('thank', 'much', 'time')","('much', 'time', 'tonight')","('number', 'stori', 'tonight')","('presid', 'bill', 'clinton')","('nbc', 'news', 'polit')","('join', 'us', 'right')","('get', 'thing', 'done')","('think', 'john', 'mccain')","('barack', 'obama', 'presid')","('ok', 'let', 'go')","('thank', 'much', 'come')","('lot', 'peopl', 'say')","('former', 'presidenti', 'candid')","('back', 'white', 'hous')","('new', 'york', 'daili')","('york', 'daili', 'news')","('still', 'dont', 'know')","('think', 'littl', 'bit')","('david', 'shuster', 'hardbal')","('say', 'dont', 'want')","('think', 'that', 'good')","('let', 'ask', 'question')","('nation', 'polit', 'report')","('report', 'washington', 'post')","('voter', 'id', 'law')","('barack', 'obama', 'said')","('think', 'go', 'happen')","('say', 'barack', 'obama')","('new', 'york', 'post')","('obama', 'white', 'hous')","('vice', 'presidenti', 'nomine')","('im', 'sure', 'that')","('dont', 'think', 'dont')","('mitt', 'romney', 'say')","('make', 'sure', 'get')","('there', 'lot', 'peopl')","('worst', 'person', 'world')","('american', 'peopl', 'want')","('think', 'hes', 'got')","('think', 'shes', 'go')","('get', 'someth', 'done')","('american', 'peopl', 'know')","('ahead', 'first', 'countdown')","('person', 'world', 'bronz')","('today', 'worst', 'person')","('that', 'countdown', 'th')","('countdown', 'th', 'day')","('th', 'day', 'sinc')","('civil', 'right', 'movement')","('thank', 'thank', 'keith')","('know', 'dont', 'think')","('poll', 'show', 'percent')","('tonight', 'worst', 'person')","('celebr', 'entertain', 'news')","('chairman', 'joint', 'chief')","('make', 'look', 'like')","('mean', 'dont', 'think')","('dont', 'know', 'anyth')","('chief', 'white', 'hous')","('said', 'last', 'night')","('nation', 'secur', 'advis')","('im', 'look', 'forward')","('dont', 'know', 'im')","('us', 'next', 'hour')","('back', 'hardbal', 'back')","('say', 'well', 'know')","('dont', 'know', 'mean')","('coupl', 'day', 'ago')","('last', 'night', 'debat')","('dont', 'think', 'anybodi')","('dont', 'want', 'go')","('well', 'im', 'sure')","('senat', 'judiciari', 'committe')","('your', 'exact', 'right')","('welcom', 'back', 'time')","('last', 'coupl', 'year')","('state', 'suprem', 'court')","('go', 'let', 'go')","('know', 'im', 'go')","('dont', 'want', 'talk')","('say', 'dont', 'know')","('long', 'time', 'ago')","('well', 'im', 'go')","('us', 'thank', 'much')","('health', 'care', 'reform')","('health', 'care', 'cost')","('know', 'there', 'lot')","('yes', 'think', 'that')","('think', 'that', 'true')","('that', 'good', 'question')","('peopl', 'dont', 'know')","('seen', 'anyth', 'like')","('tri', 'make', 'sure')","('former', 'presid', 'bill')","('that', 'go', 'happen')","('mitt', 'romney', 'think')","('ive', 'ever', 'seen')","('american', 'peopl', 'dont')","('speaker', 'nanci', 'pelosi')","('time', 'tonight', 'sir')","('tonight', 'sir', 'thank')","('unit', 'state', 'govern')","('new', 'poll', 'show')","('york', 'time', 'columnist')","('nbc', 'news', 'chief')","('want', 'know', 'think')","('doesnt', 'seem', 'like')","('dont', 'think', 'theyr')","('white', 'hous', 'presid')","('dont', 'think', 'presid')","('yes', 'dont', 'think')","('wait', 'wait', 'wait')","('make', 'sure', 'peopl')","('that', 'come', 'next')","('leader', 'john', 'boehner')","('georg', 'washington', 'univers')","('khalid', 'sheikh', 'moham')","('david', 'shuster', 'report')","('cia', 'leak', 'investig')","('jone', 'industri', 'averag')","('clint', 'van', 'zandt')","('make', 'lot', 'money')","('race', 'white', 'hous')","('leader', 'mitch', 'mcconnel')","('good', 'even', 'hi')","('even', 'hi', 'keith')","('im', 'go', 'take')","('law', 'enforc', 'offici')","('night', 'good', 'luck')","('next', 'first', 'time')","('author', 'new', 'book')","('michael', 'eric', 'dyson')","('barack', 'obama', 'go')","('there', 'noth', 'wrong')","('know', 'mitt', 'romney')","('right', 'dont', 'know')","('tonight', 'thank', 'much')","('american', 'peopl', 'think')","('vice', 'presid', 'unit')","('that', 'good', 'thing')","('attack', 'unit', 'state')","('weve', 'got', 'lot')","('depart', 'homeland', 'secur')","('stem', 'cell', 'research')","('accomplish', 'iraq', 'im')","('iraq', 'im', 'keith')","('shuster', 'hardbal', 'washington')","('mitt', 'romney', 'go')","('white', 'hous', 'go')","('thank', 'lot', 'join')","('lot', 'join', 'us')","('join', 'us', 'thank')","('former', 'secretari', 'state')","('think', 'american', 'peopl')","('dont', 'ask', 'dont')","('ask', 'dont', 'tell')","('washington', 'post', 'report')","('suprem', 'court', 'justic')","('percent', 'said', 'yes')","('said', 'yes', 'percent')","('yes', 'percent', 'said')","('percent', 'approv', 'rate')","('yes', 'yes', 'yes')","('bring', 'troop', 'home')","('look', 'like', 'theyr')","('long', 'way', 'go')","('anyway', 'thank', 'much')","('town', 'hall', 'meet')","('john', 'mccain', 'campaign')","('theyr', 'go', 'tri')","('say', 'mitt', 'romney')","('unit', 'state', 'congress')","('former', 'chief', 'staff')","('weve', 'got', 'get')","('lot', 'peopl', 'dont')","('world', 'trade', 'center')","('debat', 'last', 'night')","('american', 'peopl', 'go')","('iraq', 'studi', 'group')","('thank', 'time', 'thank')","('associ', 'press', 'report')","('privat', 'social', 'secur')","('need', 'make', 'sure')","('even', 'new', 'york')","('senat', 'ted', 'kennedi')","('join', 'us', 'next')","('katrina', 'vanden', 'heuvel')","('back', 'hardbal', 'presid')","('stay', 'us', 'next')","('insid', 'white', 'hous')","('sir', 'great', 'thank')","('los', 'angel', 'time')","('that', 'next', 'first')","('secretari', 'state', 'hillari')","('hardbal', 'msnbc', 'let')","('arm', 'servic', 'committe')","('tonight', 'new', 'york')","('civil', 'right', 'act')","('think', 'go', 'see')","('vice', 'presidenti', 'candid')","('think', 'weve', 'got')","('return', 'welcom', 'back')","('vice', 'presid', 'dick')","('presid', 'dick', 'cheney')","('new', 'jersey', 'governor')","('al', 'qaeda', 'iraq')","('first', 'countdown', 'top')","('go', 'look', 'like')","('talk', 'point', 'memo')","('well', 'see', 'tomorrow')","('see', 'tomorrow', 'night')","('fox', 'news', 'channel')","('hous', 'major', 'leader')","('pass', 'health', 'care')","('chief', 'washington', 'correspond')","('reverend', 'al', 'sharpton')","('dont', 'know', 'mani')","('right', 'back', 'welcom')","('tax', 'cut', 'rich')","('senat', 'barbara', 'boxer')","('good', 'even', 'rachel')","('washington', 'bureau', 'chief')","('cut', 'room', 'floor')","('state', 'union', 'address')","('middl', 'class', 'famili')","('health', 'care', 'bill')","('governor', 'ed', 'rendel')","('democrat', 'nation', 'committe')","('middl', 'class', 'tax')","('countdown', 'keith', 'olbermann')","('keith', 'olbermann', 'start')","('olbermann', 'start', 'right')","('state', 'hillari', 'clinton')","('suprem', 'court', 'rule')","('suprem', 'court', 'decis')","('thank', 'come', 'show')","('congression', 'budget', 'offic')","('thank', 'much', 'us')","('us', 'welcom', 'back')","('good', 'even', 'new')","('entertain', 'news', 'keep')","('news', 'keep', 'tab')","('new', 'york', 'magazin')","('governor', 'rick', 'perri')","('social', 'secur', 'medicar')","('republican', 'nation', 'committe')","('msnbc', 'back', 'hardbal')","('thank', 'watch', 'tonight')","('im', 'david', 'gregori')","('tonight', 'thank', 'thank')","('guess', 'could', 'say')","('us', 'tonight', 'appreci')","('get', 'cell', 'phone')","('hardbal', 'start', 'right')","('countdown', 'top', 'newsmak')","('top', 'newsmak', 'day')","('newsmak', 'day', 'number')","('us', 'tonight', 'good')","('chris', 'matthew', 'washington')","('nomine', 'worst', 'person')","('presid', 'barack', 'obama')","('senat', 'sherrod', 'brown')","('suprem', 'court', 'nomine')","('situat', 'tucker', 'carlson')","('ana', 'mari', 'cox')","('show', 'thank', 'watch')","('thank', 'watch', 'im')","('pay', 'fair', 'share')","('congressman', 'barney', 'frank')","('peopl', 'back', 'work')","('thank', 'much', 'great')","('health', 'care', 'debat')","('appreci', 'time', 'tonight')","('good', 'even', 'american')","('washington', 'editor', 'nation')","('tonight', 'presid', 'obama')","('presid', 'obama', 'go')","('let', 'get', 'work')","('must', 'see', 'sc')","('pope', 'john', 'paul')","('john', 'paul', 'ii')","('tax', 'cut', 'wealthi')","('pleas', 'stay', 'us')","('welcom', 'scarborough', 'countri')","('al', 'sharpton', 'start')","('that', 'cnbc', 'first')","('cnbc', 'first', 'busi')","('first', 'busi', 'worldwid')","('busi', 'worldwid', 'back')","('worldwid', 'back', 'hardbal')","('show', 'let', 'get')","('scarborough', 'countri', 'return')","('welcom', 'back', 'scarborough')","('im', 'al', 'sharpton')","('back', 'scarborough', 'countri')","('well', 'bring', 'result')","('vice', 'presid', 'joe')","('start', 'right', 'good')","('senat', 'berni', 'sander')","('class', 'tax', 'cut')","('congresswoman', 'michel', 'bachmann')","('know', 'think', 'tonight')","('presid', 'obama', 'want')","('say', 'presid', 'obama')","('presid', 'joe', 'biden')","('senat', 'financ', 'committe')","('tea', 'parti', 'republican')","('congressman', 'anthoni', 'weiner')","('presid', 'obama', 'say')","('much', 'join', 'tonight')","('join', 'tonight', 'thank')","('attack', 'presid', 'obama')","('today', 'presid', 'obama')","('think', 'presid', 'obama')","('that', 'hardbal', 'thank')","('hardbal', 'thank', 'us')","('last', 'word', 'lawrenc')","('word', 'lawrenc', 'odonnel')","('presid', 'obama', 'get')","('back', 'hardbal', 'sideshow')","('hardbal', 'sideshow', 'first')","('even', 'american', 'welcom')","('american', 'welcom', 'ed')","('welcom', 'ed', 'show')","('ed', 'show', 'tonight')","('show', 'tonight', 'new')","('governor', 'scott', 'walker')","('cell', 'phone', 'want')","('phone', 'want', 'know')","('text', 'yes', 'text')","('bring', 'result', 'later')","('result', 'later', 'show')","('good', 'us', 'tonight')","('question', 'bottom', 'screen')","('next', 'ed', 'show')","('ed', 'show', 'stay')","('show', 'stay', 'us')","('welcom', 'back', 'ed')","('back', 'ed', 'show')","('next', 'stay', 'us')","('stay', 'us', 'welcom')","('ed', 'show', 'thank')","('great', 'us', 'tonight')","('that', 'ed', 'show')","('ed', 'show', 'im')","('show', 'im', 'ed')","('im', 'ed', 'schultz')","('time', 'ed', 'show')","('repeal', 'health', 'care')","('medicar', 'social', 'secur')","('matthew', 'washington', 'lead')","('washington', 'lead', 'tonight')","('let', 'finish', 'tonight')","('hardbal', 'time', 'sideshow')","('return', 'let', 'finish')","('msnbc', 'let', 'finish')","('privat', 'sector', 'job')","('right', 'time', 'ed')","('ed', 'show', 'ed')","('tonight', 'text', 'survey')","('tonight', 'appreci', 'time')","('us', 'ed', 'show')","('psycho', 'talk', 'tonight')","('psycho', 'talk', 'come')","('your', 'watch', 'ed')","('watch', 'ed', 'show')","('ed', 'show', 'msnbc')","('show', 'msnbc', 'stay')","('msnbc', 'stay', 'us')","('tea', 'parti', 'movement')","('tonight', 'thank', 'ed')","('repeal', 'dont', 'ask')","('rais', 'debt', 'ceil')","('speaker', 'john', 'boehner')","('wall', 'street', 'reform')","('rachel', 'join', 'top')","('join', 'top', 'hour')","('vote', 'health', 'care')","('care', 'reform', 'bill')","('tea', 'parti', 'peopl')","('us', 'tonight', 'ed')","('tonight', 'ed', 'show')","('lame', 'duck', 'session')","('health', 'care', 'law')","('vice', 'presid', 'biden')","('thank', 'join', 'tonight')","('tonight', 'thank', 'lawrenc')","('afford', 'care', 'act')","('show', 'presid', 'obama')","('extend', 'bush', 'tax')","('come', 'presid', 'obama')","('thank', 'home', 'stay')","('home', 'stay', 'us')","('presid', 'obama', 'said')","('maddow', 'show', 'start')","('hous', 'speaker', 'john')","('governor', 'chris', 'christi')","('thank', 'us', 'polit')","('payrol', 'tax', 'cut')","('tea', 'parti', 'candid')","('extend', 'tax', 'cut')","('releas', 'tax', 'return')","('come', 'show', 'tonight')","('governor', 'sarah', 'palin')","('presid', 'obama', 'today')","('ed', 'show', 'let')","('hardbal', 'place', 'polit')","('polit', 'nation', 'al')","('nation', 'al', 'sharpton')","('sharpton', 'start', 'right')","('share', 'thought', 'twitter')","('best', 'new', 'thing')","('new', 'thing', 'world')","('thing', 'world', 'today')","('back', 'polit', 'nation')","('occupi', 'wall', 'street')"
2007-12-27,1,5,7,1,6,1,2,3,4,2,1,1,1,1,2,8,1,1,1,2,2,2,4,1,1,1,1,1,1,1,1,1,2,1,4,1,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,4,1,1,2,1,1,1,2,3,3,2,2,1,1,4,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,4,4,3,3,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,4,1,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-12-20,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,5,2,3,4,0,0,0,2,0,0,0,2,2,0,1,1,0,0,0,0,3,0,0,0,2,2,0,3,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,1,2,0,0,1,0,0,0,2,0,0,2,3,1,0,2,3,1,1,4,4,2,2,1,2,1,1,3,3,2,1,1,2,1,3,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
