145,"('thank', 'thank', 'come')",555
146,"('american', 'peopl', 'want')",867
147,"('dont', 'think', 'think')",1110
148,"('dont', 'think', 'know')",536
149,"('say', 'dont', 'know')",723
150,"('lot', 'peopl', 'think')",496
151,"('weapon', 'mass', 'destruct')",1339
152,"('presid', 'georg', 'bush')",729
153,"('well', 'think', 'that')",548
154,"('mean', 'dont', 'think')",421
155,"('let', 'us', 'know')",806
156,"('everi', 'singl', 'day')",893
157,"('im', 'look', 'forward')",394
158,"('senat', 'judiciari', 'committe')",632
159,"('thank', 'join', 'us')",1402
160,"('well', 'right', 'back')",828
161,"('new', 'york', 'citi')",4777
162,"('white', 'hous', 'chief')",445
163,"('hous', 'chief', 'staff')",417
164,"('arm', 'servic', 'committe')",568
165,"('dont', 'think', 'there')",1312
166,"('think', 'american', 'peopl')",1238
167,"('nuclear', 'weapon', 'program')",487
168,"('dont', 'know', 'that')",894
169,"('know', 'there', 'lot')",437
170,"('well', 'know', 'think')",536
171,"('wall', 'street', 'journal')",2528
172,"('let', 'get', 'back')",417
173,"('cost', 'health', 'care')",379
174,"('your', 'exact', 'right')",369
175,"('health', 'care', 'cost')",646
176,"('think', 'hes', 'got')",407
177,"('theyr', 'go', 'get')",1130
178,"('thank', 'much', 'good')",771
179,"('suprem', 'court', 'nomine')",619
180,"('join', 'us', 'thank')",459
181,"('last', 'coupl', 'week')",449
182,"('come', 'back', 'well')",493
183,"('dont', 'think', 'presid')",417
184,"('dont', 'know', 'mean')",813
185,"('think', 'white', 'hous')",522
186,"('right', 'well', 'think')",388
187,"('percent', 'american', 'peopl')",502
188,"('done', 'good', 'job')",372
189,"('capit', 'gain', 'tax')",546
190,"('senat', 'financ', 'committe')",377
191,"('white', 'hous', 'offici')",812
192,"('come', 'white', 'hous')",372
193,"('go', 'come', 'back')",881
194,"('senat', 'intellig', 'committe')",456
195,"('alway', 'pleasur', 'thank')",365
196,"('develop', 'nuclear', 'weapon')",435
197,"('governor', 'mike', 'huckabe')",388
198,"('well', 'im', 'go')",626
199,"('social', 'secur', 'reform')",380
200,"('tell', 'american', 'peopl')",448
201,"('say', 'im', 'go')",991
202,"('thank', 'sir', 'thank')",984
203,"('right', 'let', 'talk')",452
204,"('ive', 'got', 'tell')",889
205,"('bush', 'white', 'hous')",480
206,"('youv', 'got', 'get')",385
207,"('see', 'next', 'time')",1300
208,"('dont', 'think', 'dont')",722
209,"('think', 'dont', 'know')",435
210,"('weve', 'got', 'lot')",411
211,"('suprem', 'court', 'rule')",651
212,"('american', 'peopl', 'think')",550
213,"('peopl', 'unit', 'state')",391
214,"('say', 'dont', 'want')",805
215,"('american', 'peopl', 'say')",434
216,"('mean', 'dont', 'know')",826
217,"('think', 'there', 'lot')",484
218,"('think', 'lot', 'peopl')",1108
219,"('dont', 'know', 'im')",715
220,"('know', 'im', 'say')",378
221,"('vice', 'presid', 'dick')",534
222,"('presid', 'dick', 'cheney')",537
223,"('dont', 'know', 'exact')",670
224,"('im', 'go', 'make')",464
225,"('know', 'what', 'go')",1139
226,"('go', 'make', 'sure')",390
227,"('former', 'white', 'hous')",636
228,"('beyond', 'reason', 'doubt')",405
229,"('dont', 'realli', 'know')",512
230,"('live', 'new', 'york')",443
231,"('hous', 'major', 'leader')",661
